Модель;Цена;Описание;Ссылка на картинку
Citizen CC3075-80E;94 640 Руб;мужские, японские, кварцевые, 100WR, стекло: минеральное, D 44мм, толщина 14,5мм, вес 166г;IconAndImages/Citizen1.jpg
Citizen AW1240-57L;33 710 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 42мм, толщина 11мм, вес 99г;IconAndImages/Citizen2.jpg
Citizen BN2040-17X;107 640 Руб;мужские, японские, кварцевые, 200WR, стекло: минеральное, D 46мм, толщина 16мм, вес 138г, ширина браслета 22мм;IconAndImages/Citizen3.jpg
Citizen EM0643-84X;40 480 Руб;женские, японские, кварцевые, 50WR, стекло: сапфировое, D 31,5мм, толщина 8,5мм, ширина ремешка 14мм, вес 52,4г;IconAndImages/Citizen4.jpg
Citizen BN2041-81L;121 180 Руб;мужские, японские, кварцевые, 200WR, стекло: минеральное, D 46мм, толщина 16мм, вес 138г, ширина браслета 22мм;IconAndImages/Citizen5.jpg
Citizen CA0700-86E;44 550 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 11мм, вес 109г;IconAndImages/Citizen6.jpg
Citizen AT2480-81X;44 550 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 10,6мм, вес 93г;IconAndImages/Citizen7.jpg
Citizen CA0650-82F;44 550 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 42,5мм, толщина 11,8мм;IconAndImages/Citizen8.jpg
Citizen BJ2167-03E;94 100 Руб;мужские, японские, кварцевые, 200WR, стекло: сапфировое, D 50,4мм, толщина 15,9мм, ширина ремешка 22мм, вес 135г;IconAndImages/Citizen9.jpg
Citizen EM0896-89Y;22 880 Руб;женские, японские, кварцевые, 50WR, стекло: минеральное, D 30мм, толщина 8,2мм, вес 55г;IconAndImages/Citizen10.jpg
Citizen BM7430-89A;33 710 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 10мм, вес 100г;IconAndImages/Citizen11.jpg
Citizen AT8218-81E;94 100 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 44мм, толщина 11мм, вес 91г;IconAndImages/Citizen12.jpg
Citizen CA0700-86L;44 550 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 11мм, вес 110г;IconAndImages/Citizen13.jpg
Citizen BJ2167-03E;94 100 Руб;мужские, японские, кварцевые, 200WR, стекло: сапфировое, D 50,4мм, толщина 15,9мм, ширина ремешка 22мм, вес 135г;IconAndImages/Citizen14.jpg
Citizen EM0576-80A;20 170 Руб;женские, японские, кварцевые, 50WR, стекло: минеральное, D 30мм, толщина 7,5мм, вес 43г;IconAndImages/Citizen15.jpg
Citizen BM8560-88L;32 360 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 42мм;IconAndImages/Citizen16.jpg
Citizen AT8218-81L;94 100 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 44мм, толщина 11мм, вес 91г;IconAndImages/Citizen17.jpg
Citizen AW1620-21E;17 470 Руб;мужские, японские, кварцевые, 100WR, стекло: минеральное, D 42мм, толщина 11мм, ширина ремешка 21мм, длина ремешка 148мм;IconAndImages/Citizen18.jpg
Citizen JY0020-64E;80 560 Руб;мужские, японские, кварцевые, 200WR, стекло: сапфировое выпуклое с антибликовым покрытием, D 48мм, толщина 15мм, вес 48г;IconAndImages/Citizen19.jpg
Citizen BM7360-82L;33 710 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 41мм, толщина 9,8мм, вес 92г;IconAndImages/Citizen20.jpg
Citizen NB6004-08E;100 870 Руб;мужские, японские, механические с автоподзаводом, 200WR, стекло: сапфировое, D 46мм, вес 105г;IconAndImages/Citizen21.jpg
Citizen EW5556-87D;37 770 Руб;женские, японские, кварцевые, 50WR, стекло: сапфировое, толщина 8мм, ширина браслета 16мм, длина браслета 147мм, вес 73г;IconAndImages/Citizen22.jpg
Citizen EW2500-88A;40 480 Руб;женские, японские, кварцевые, 50WR, стекло: сапфировое, D 29мм, толщина 8мм, вес 43г;IconAndImages/Citizen23.jpg
Citizen BN0191-80L;37 770 Руб;мужские, японские, кварцевые, 200WR, стекло: минеральное, D 44,5мм, толщина 12,5мм, вес 176г;IconAndImages/Citizen24.jpg
Citizen BM6930-57E;33 710 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 42мм, толщина 10мм, вес 85г;IconAndImages/Citizen25.jpg
Citizen CB5880-54L;67 560 Руб;мужские, японские, кварцевые, 200WR, стекло: сапфировое с антибликовым покрытием, D 42,5мм, толщина 13мм, вес 178г;IconAndImages/Citizen26.jpg
Citizen EW2470-87L;33 710 Руб;женские, японские, кварцевые, 50WR, стекло: сапфировое, D 34мм, толщина 8мм, ширина браслета 18мм, вес 56г;IconAndImages/Citizen27.jpg
Citizen BM7108-22L;24 240 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 41мм, толщина 10мм;IconAndImages/Citizen28.jpg
Citizen CB5887-55H;74 330 Руб;мужские, японские, кварцевые, 200WR, стекло: сапфировое с антибликовым покрытием, D 42,5мм, толщина 13мм, вес 178г;IconAndImages/Citizen29.jpg
Citizen CA4014-57E;47 250 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 11мм, вес 109г;IconAndImages/Citizen30.jpg
Citizen BN0190-15E;33 710 Руб;мужские, японские, кварцевые, 200WR, стекло: минеральное, D 44,5мм, толщина 12,5мм, вес 104г;IconAndImages/Citizen31.jpg
Citizen CA4440-16L;45 900 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 12,5мм, вес 54г, ширина ремешка 22мм;IconAndImages/Citizen32.jpg
Citizen EW2214-52A;35 070 Руб;женские, японские, кварцевые, 100WR, стекло: сапфировое, D 34мм, толщина 9мм, ширина браслета 16мм, вес 57г;IconAndImages/Citizen33.jpg
Citizen NJ0090-13P;40 480 Руб;мужские, японские, механические с автоподзаводом, 30WR, стекло: сапфировое;IconAndImages/Citizen34.jpg
Citizen BM8430-59E;21 530 Руб;мужские, японские, кварцевые, 100WR, стекло: минеральное, D 37мм, толщина 10мм;IconAndImages/Citizen35.jpg
Citizen NY0086-16L;31 010 Руб;мужские, японские, механические с автоподзаводом, 200WR, стекло: минеральное;IconAndImages/Citizen36.jpg
Citizen AR1130-13A;31 010 Руб;мужские, японские, кварцевые, 30WR, стекло: сапфировое, D 39мм, толщина 5мм, вес 31г;IconAndImages/Citizen37.jpg
Citizen BM7470-84L;35 070 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 10,5мм, вес 96г, ширина браслета 22мм;IconAndImages/Citizen38.jpg
Citizen EW0650-51L;31 010 Руб;женские, японские, кварцевые, 100WR, стекло: сапфировое, D 28мм, толщина 9мм, ширина браслета 12мм, вес 56г;IconAndImages/Citizen39.jpg
Citizen CA0718-13E;40 480 Руб;мужские, японские, кварцевые, 200WR, стекло: минеральное с антибликовым покрытием;IconAndImages/Citizen40.jpg
Citizen BM7360-82E;33 710 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 41мм, толщина 9,8мм, вес 92г;IconAndImages/Citizen41.jpg
Citizen CA4420-13L;26 940 Руб;мужские, японские, кварцевые, 100WR, стекло: минеральное, D 43,1мм, толщина 12,5мм, вес 82г, ширина ремешка 20мм;IconAndImages/Citizen42.jpg
Citizen CA7040-85E;26 940 Руб;мужские, японские, кварцевые, 100WR, стекло: минеральное;IconAndImages/Citizen43.jpg
Citizen BM7360-82A;33 710 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 41мм, толщина 9,8мм, вес 92г;IconAndImages/Citizen44.jpg
Citizen NJ0100-89A;24 240 Руб;мужские, японские, механические с автоподзаводом, 100WR, стекло: минеральное, D 45мм, толщина 12мм, вес 152г;IconAndImages/Citizen45.jpg
Citizen EM0720-85N;47 250 Руб;женские, японские, кварцевые, 50WR, стекло: сапфировое, D 30мм, толщина 8мм, ширина браслета 14мм, вес 44г;IconAndImages/Citizen46.jpg
Citizen EM0571-16A;18 820 Руб;женские, японские, кварцевые, 50WR, стекло: минеральное, D 30мм, толщина 7,5мм, вес 27г;IconAndImages/Citizen47.jpg
Citizen AW7056-11A;22 880 Руб;мужские, японские, кварцевые, 100WR, стекло: минеральное, D 43мм, толщина 11мм, ширина ремешка 22мм, длина ремешка 142мм;IconAndImages/Citizen48.jpg
Citizen AT2470-85H;44 550 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 43мм, толщина 10,6мм, вес 93г;IconAndImages/Citizen49.jpg
Citizen AW5000-16L;18 820 Руб;мужские, японские, кварцевые, 100WR, стекло: минеральное, D 42,6мм, толщина 13мм;IconAndImages/Citizen50.jpg
Citizen BF2011-01E;10 700 Руб;мужские, японские, кварцевые, 50WR, стекло: минеральное, D 41мм, толщина 9мм, вес 51г;IconAndImages/Citizen51.jpg
Citizen BV1111-75E;24 240 Руб;мужские, японские, кварцевые, 50WR, стекло: минеральное, D 40мм, толщина 11мм, ширина браслета 20мм, длина браслета 155мм;IconAndImages/Citizen52.jpg
Citizen EM0571-83L;18 820 Руб;женские, японские, кварцевые, 50WR, стекло: минеральное, D 30мм, толщина 7,5мм, вес 43г;IconAndImages/Citizen53.jpg
Citizen BN0201-88L;47 250 Руб;мужские, японские, кварцевые, 200WR, стекло: минеральное, D 44мм, толщина 12мм, вес 70г;IconAndImages/Citizen54.jpg
Citizen BN2037-11E;71 630 Руб;мужские, японские, кварцевые, 200WR, стекло: минеральное, D 46мм, толщина 16,2мм, вес 127г, ширина браслета 22мм;IconAndImages/Citizen55.jpg
Citizen BM6930-57M;33 710 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 42мм, толщина 10мм, вес 85г;IconAndImages/Citizen56.jpg
Citizen AW1240-57E;33 710 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 42мм, толщина 11мм, вес 99г;IconAndImages/Citizen57.jpg
Citizen AS2050-87A;39 040 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 39мм, толщина 10мм, вес 121г, ширина браслета 20мм;IconAndImages/Citizen58.jpg
Citizen BM7109-89E;28 300 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 41мм, толщина 10мм;IconAndImages/Citizen59.jpg
Citizen BF2011-51E;12 050 Руб;мужские, японские, кварцевые, 50WR, стекло: минеральное, D 41мм, толщина 9мм, вес 113г;IconAndImages/Citizen60.jpg
Citizen AW1244-56E;35 070 Руб;мужские, японские, кварцевые, 100WR, стекло: сапфировое, D 42мм, толщина 11мм, вес 99г;IconAndImages/Citizen61.jpg
Citizen AW1620-81L;18 820 Руб;мужские, японские, кварцевые, 100WR, стекло: минеральное;IconAndImages/Citizen62.jpg
